created_on,name,schema_name,is_builtin,is_aggregate,is_ansi,min_num_arguments,max_num_arguments,arguments,description,catalog_name,is_table_function,valid_for_clustering,is_secure,is_external_function,language,is_memoizable
2012-08-01T00:00:00-07:00,ABS,,Y,N,Y,1,1,"ABS(NUMBER) RETURN NUMBER, ABS(FLOAT) RETURN FLOAT",returns absolute value of x,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ACOS,,Y,N,N,1,1,ACOS(FLOAT) RETURN FLOAT,Compute the arccosine of the input expression (returned as radians).,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ACOSH,,Y,N,N,1,1,ACOSH(FLOAT) RETURN FLOAT,Compute the inverse hyperbolic cosine of the input expression.,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ADD_MONTHS,,Y,N,N,2,2,,,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ANY_VALUE,,Y,Y,N,1,1,ANY_VALUE(ANY) RETURN ANY,Returns the first non-null value of a column,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROXIMATE_COUNT_DISTINCT,,Y,Y,N,1,-1,APPROXIMATE_COUNT_DISTINCT(ANY) RETURN NUMBER,approximate distinct row count,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROXIMATE_JACCARD_INDEX,,Y,Y,N,1,1,APPROXIMATE_JACCARD_INDEX(VARIANT) RETURN FLOAT,Similarity approximation of inputs,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROXIMATE_SIMILARITY,,Y,Y,N,1,1,APPROXIMATE_SIMILARITY(VARIANT) RETURN FLOAT,Similarity approximation of inputs,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_COUNT_DISTINCT,,Y,Y,N,1,-1,APPROX_COUNT_DISTINCT(ANY) RETURN NUMBER,approximate distinct row count,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_PERCENTILE,,Y,Y,N,2,2,"APPROX_PERCENTILE(FLOAT, FLOAT) RETURN FLOAT",percentile approximation of inputs,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_PERCENTILE_ACCUMULATE,,Y,Y,N,1,1,APPROX_PERCENTILE_ACCUMULATE(FLOAT) RETURN OBJECT,tdigest state in JSON format,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_PERCENTILE_COMBINE,,Y,Y,N,1,1,APPROX_PERCENTILE_COMBINE(OBJECT) RETURN OBJECT,A tdigest state in JSON format,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_PERCENTILE_ESTIMATE,,Y,N,N,2,2,"APPROX_PERCENTILE_ESTIMATE(OBJECT, FLOAT) RETURN FLOAT",ESTIMATED PERCENTILE VALUE,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_TOP_K,,Y,Y,N,1,3,"APPROX_TOP_K(ANY [, NUMBER] [, NUMBER]) RETURN ARRAY",Array containing top k items and their frequencies,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_TOP_K_ACCUMULATE,,Y,Y,N,2,2,"APPROX_TOP_K_ACCUMULATE(ANY, NUMBER) RETURN OBJECT",An internal state,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_TOP_K_COMBINE,,Y,Y,N,1,2,"APPROX_TOP_K_COMBINE(OBJECT [, NUMBER]) RETURN OBJECT",A state created by combining information from combining  all input,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,APPROX_TOP_K_ESTIMATE,,Y,N,N,1,2,"APPROX_TOP_K_ESTIMATE(OBJECT [, NUMBER]) RETURN ARRAY",Array containing most common k items and their frequencies,,N,Y,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAYAGG,,Y,Y,N,1,1,ARRAYAGG(ANY) RETURN ARRAY,output array,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAYS_OVERLAP,,Y,N,N,2,2,"ARRAYS_OVERLAP(ARRAY, ARRAY) RETURN BOOLEAN, ARRAYS_OVERLAP(ARRAY(ANY), ARRAY(ANY)) RETURN BOOLEAN",Returns true if two arrays have elements in common,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAYS_TO_OBJECT,,Y,N,N,2,2,"ARRAYS_TO_OBJECT(ARRAY, ARRAY) RETURN OBJECT",the resulting object,,N,N,,N,SQL,N
2012-08-01T00:00:00-07:00,ARRAY_AGG,,Y,Y,N,1,1,ARRAY_AGG(ANY) RETURN ARRAY,output array,,N,N,,N,SQL,N
